Date,Ratio_a (HDFCLTD),Ratio_b (HDFCBANK)
2015-10-07,1.009682264,1.001657535
2015-10-08,1.000508826,0.995725121
2015-10-09,1.010640795,1.002815991
2015-10-12,0.983393977,0.994844174
2015-10-13,1.006652234,0.996113091
2015-10-14,1.012082584,1.007804153
2015-10-15,1.000424989,0.999446877
2015-10-16,1.013053217,1.014665867
2015-10-19,1.002859103,0.997954638
2015-10-20,0.997833276,0.997358353
2015-10-21,1.00247619,1.000091333
2015-10-23,1.016834505,1.012328767
2015-10-26,0.981164512,0.99368516
2015-10-27,0.971356746,1.008533818
2015-10-28,0.993333856,1.000540103
2015-10-29,0.998460445,0.992847503
2015-10-30,0.993832286,0.996420642
2015-11-02,0.971516092,0.984994543
2015-11-03,1.000286639,1.001661896
2015-11-04,0.998976584,0.997050419
2015-11-05,0.988280129,0.998289729
2015-11-06,0.999626819,1.000972357
2015-11-09,0.987846358,0.985105005
2015-11-10,0.983707747,0.990420736
2015-11-11,1.005164981,0.999810355
2015-11-13,1.001146594,0.997771244
2015-11-16,0.999703075,1.008459674
2015-11-17,1.018966395,0.999858617
2015-11-18,0.981636477,0.988499246
2015-11-19,1.030117927,1.019359146
2015-11-20,0.993040685,1.001824305
2015-11-23,0.987891354,0.995517579
2015-11-24,1.02333879,0.998405328
2015-11-26,1.003035399,0.999624184
2015-11-27,1.00650227,1.014521359
2015-11-30,0.984235332,0.998471373
2015-12-01,1.011145971,1.00487126
2015-12-02,0.989425982,0.995198523
2015-12-03,0.990468331,0.999025793
2015-12-04,0.976170638,0.983422336
2015-12-07,1.011095937,1.002880348
2015-12-08,0.988983623,0.988040868
2015-12-09,0.984379668,0.998284489
2015-12-10,1.025189681,1.012554299
2015-12-11,0.993614142,0.986564209
2015-12-14,1.011321558,1.008314617
2015-12-15,1.015571735,1.004170418
2015-12-16,1.01056732,1.007409505
2015-12-17,1.01775609,1.012133421
2015-12-18,0.987026069,0.993288591
2015-12-21,1.006123199,1.002236719
2015-12-22,0.996673023,0.991677515
2015-12-23,1.008915123,1.007173332
2015-12-24,0.992212718,0.999906899
2015-12-28,0.998454719,1.003026071
2015-12-29,1.005416853,1.000649803
2015-12-30,0.999513895,0.996613943
2015-12-31,1.024357623,1.007307084
2016-01-01,0.995806133,1.00609897
2016-01-04,0.966824268,0.983237658
2016-01-05,0.994000164,0.992433442
2016-01-06,0.999917314,1.004423946
2016-01-07,0.975316299,0.9897854
2016-01-08,0.995718343,1.005822761
2016-01-11,0.989058243,0.99647009
2016-01-12,0.99164909,0.988994899
2016-01-13,1.013717064,1.012608052
2016-01-14,0.992848885,0.990190067
2016-01-15,0.9918054,0.992760181
2016-01-18,0.984345103,0.984359257
2016-01-19,1.018731225,1.009699274
2016-01-20,0.985819601,0.983104846
2016-01-21,0.99511723,1.004615536
2016-01-22,1.024180002,1.007135875
2016-01-25,1.013941042,1.010530913
2016-01-27,0.996041206,0.99471738
2016-01-28,0.98102483,0.99618597
2016-01-29,1.028098453,1.017592323
2016-02-01,1.000042373,1.009429919
2016-02-02,0.999788145,0.994385468
2016-02-03,0.984022716,0.990557981
2016-02-04,1.00637409,1.005125257
2016-02-05,1.012496255,1.005766298
2016-02-08,0.984065261,0.981615731
2016-02-09,0.996392063,0.990539171
2016-02-10,0.962626088,0.987232591
2016-02-11,0.955308764,0.962831334
2016-02-12,1.0160315,0.99600123
2016-02-15,0.996955017,1.002264772
